"transaction_id","product_id","user_id","transaction_timestamp","revenue","cost"
1,109,1001,2023-09-04,202,292
2,103,1002,2023-06-29,535,135
3,110,1004,2022-03-25,960,333
4,110,1004,2022-10-25,370,115
5,108,1009,2023-11-09,206,219
6,104,1010,2022-01-31,171,94
7,108,1001,2023-10-29,800,111
8,107,1009,2023-01-01,120,490
9,104,1004,2022-06-22,714,183
10,102,1009,2022-06-05,221,333
11,102,1007,2023-09-27,566,77
12,107,1004,2023-12-15,314,157
13,106,1008,2022-12-24,430,93
14,107,1010,2022-09-29,558,389
15,107,1005,2022-08-26,187,335
16,108,1001,2023-09-30,472,495
17,101,1003,2023-09-10,199,380
18,102,1007,2023-11-08,971,177
19,101,1006,2022-06-26,763,397
20,107,1005,2022-06-23,230,280
21,106,1003,2022-01-19,761,239
22,102,1004,2023-05-28,408,274
23,104,1006,2022-05-31,869,434
24,104,1002,2022-11-06,443,426
25,104,1002,2022-09-12,591,332
26,109,1007,2022-08-05,513,495
27,108,1002,2023-11-03,905,170
28,103,1006,2022-02-23,485,165
29,107,1006,2023-08-24,291,282
30,103,1010,2022-08-05,376,308
31,105,1005,2022-09-30,260,408
32,108,1001,2023-05-14,559,247
33,104,1008,2023-01-31,413,460
34,102,1009,2022-11-07,121,186
35,108,1002,2023-06-12,352,367
36,109,1007,2023-10-18,847,214
37,102,1002,2023-02-21,956,274
38,101,1009,2022-09-15,660,356
39,109,1005,2022-01-22,574,283
40,101,1010,2022-03-31,158,221
41,102,1006,2023-11-13,610,201
42,104,1010,2022-07-22,781,364
43,103,1004,2022-05-19,575,423
44,107,1002,2023-03-27,799,209
45,108,1001,2022-07-26,882,145
46,108,1004,2022-01-30,289,282
47,104,1005,2022-03-26,786,229
48,107,1002,2023-04-09,662,162
49,101,1004,2022-12-04,975,367
50,103,1002,2022-09-26,666,491
51,107,1007,2023-07-20,343,101
52,101,1005,2023-09-03,931,317
53,107,1008,2022-09-01,604,344
54,105,1006,2022-12-05,230,435
55,108,1003,2023-04-16,584,436
56,105,1006,2023-02-02,918,162
57,107,1006,2022-03-31,746,150
58,109,1004,2022-10-27,120,162
59,108,1005,2023-11-30,940,489
60,103,1002,2023-03-24,266,130
61,104,1010,2022-05-28,373,236
62,105,1003,2022-07-17,487,162
